x,y,label
0.0,0.0,5
-7.588320523002825,7.335621968377886,0
0.7448612690252343,6.25731335016301,4
-0.825014517987281,0.41493553643712744,7
-3.898030083904569,0.11911206413028275,7
3.9761013951330995,0.9484099854839467,5
-9.99796665254854,4.439057051899663,0
-1.1237520809670283,3.9938353975820533,7
8.549908982500572,-8.105264093522306,2
4.329992861494871,-5.058278117532278,2
-6.030701639134623,-8.788577102764322,6
-1.3923935395039884,0.8760147505687126,7
-6.7333327232812294,-2.9519012981504282,3
-5.59447335326714,-2.1333487433675513,3
5.947814932998272,-6.771690818062755,2
-6.245358817965501,-1.521327886861263,3
-5.901550726991207,1.7249842455990638,7
4.031038969061608,-1.6712914425281689,5
-5.742457639419971,-0.6572570893652028,3
7.033682645151053,-9.089188484280319,2
-2.1617338296948745,7.613863589455544,0
-4.013894747309987,-8.83606395580282,6
3.552479368995824,6.762551080047025,4
9.863970721239006,2.037010372366929,8
3.5364628091510024,5.838324614816667,4
-2.572494049695983,1.2140392621433271,7
-5.631202511919424,6.28823141997189,0
8.088363161329227,6.476362178889346,1
-6.43632771417357,-3.992503579306163,3
2.385833561479007,4.4251138298412425,4
8.180632787310422,8.247503312945376,1
-5.7844362272288485,6.100967772251032,0
3.3509868094097044,9.267404395938168,4
-3.917100956225834,2.3154984024825396,7
4.950629245469546,8.764298813153339,1
-2.278086020753623,-5.771440941186439,6
1.4934894385889166,7.182966436960662,4
-5.594431042153469,-7.828933199873564,6
-6.486274563274197,-3.7318227281663052,3
8.110849777065233,-4.980710602400333,2
9.72801016949304,-7.257198514013368,2
7.4896945880051575,8.716310967107216,1
9.114455175050796,9.18196688404089,1
9.52497162501771,7.107401250639892,1
-4.166919686588972,5.553270475984881,0
0.9952105864475058,-1.6876260540442196,5
-0.10776423347417285,7.165597498839944,4
5.127924339378627,8.389983302552789,1
-5.282502719638986,-1.4682272789250561,3
-1.690009088395163,2.494528213958308,7
-3.5998550449256843,9.025782377162173,0
