Time,Date,Day of the week,CarCount,BikeCount,BusCount,TruckCount,Total,Traffic Situation,Hour,Minute,Time of Day,Weekend,Total Vehicle Count,Car_Bus_Count,Car_Truck_Count,Bus_Truck_Count,min_speed,max_speed,bias_factor,adjusted_min_speed,adjusted_max_speed,lower_bound,Probabilistic Speed,Speed_Lag_1,Speed_Lag_2,Speed_Lag_3,Speed_Rolling_Mean,Speed_Rolling_STD
2025-08-07 00:00:00,10,5,13,2,2,24,41,normal,0,0,0.0,1,41,26,312,48,60,80,0.3,60,80,74.0,78.68373241516328,0.0,0.0,0.0,0.0,0.0
2025-08-07 00:15:00,10,5,14,1,1,36,52,normal,0,15,0.25,1,52,14,504,36,60,80,0.3,60,75,70.5,73.76920746653234,78.68373241516328,0.0,0.0,0.0,0.0
2025-08-07 00:30:00,10,5,10,2,2,32,46,normal,0,30,0.5,1,46,20,320,64,60,80,0.3,60,80,74.0,79.60301615559578,73.76920746653234,78.68373241516328,0.0,77.3519853457638,3.1366373153089637
2025-08-07 00:45:00,10,5,10,2,2,36,50,normal,0,45,0.75,1,50,20,360,72,60,80,0.3,60,80,74.0,77.36459702439869,79.60301615559578,73.76920746653234,78.68373241516328,76.91227354884226,2.943089932375941
2025-08-07 01:00:00,10,5,11,2,1,34,48,normal,1,0,1.0,1,48,11,374,34,60,80,0.3,60,80,74.0,77.79417534056324,77.36459702439869,79.60301615559578,73.76920746653234,78.25392950685257,1.187922754977193
2025-08-07 01:15:00,10,5,15,1,1,39,56,normal,1,15,1.25,1,56,15,585,39,60,80,0.3,60,75,70.5,72.5867266980225,77.79417534056324,77.36459702439869,79.60301615559578,75.91516635432815,2.890504677678397
2025-08-07 01:30:00,10,5,14,2,2,27,45,normal,1,30,1.5,1,45,28,378,54,60,80,0.3,60,80,74.0,76.30451100763344,72.5867266980225,77.79417534056324,77.36459702439869,75.56180434873973,2.6819937037675188
2025-08-07 01:45:00,10,5,13,2,1,20,36,normal,1,45,1.75,1,36,13,260,20,60,80,0.3,60,80,74.0,74.99375693434632,76.30451100763344,72.5867266980225,77.79417534056324,74.62833154666743,1.8856383080186536
2025-08-07 02:00:00,10,5,7,0,0,26,33,normal,2,0,2.0,1,33,0,182,0,60,80,0.3,60,80,74.0,75.34471938889382,74.99375693434632,76.30451100763344,72.5867266980225,75.54766244362453,0.6785340616042947
2025-08-07 02:15:00,10,5,13,0,0,34,47,normal,2,15,2.25,1,47,0,442,0,60,80,0.3,60,80,74.0,77.82023185390604,75.34471938889382,74.99375693434632,76.30451100763344,76.0529027257154,1.5405787375654638
2025-08-07 02:30:00,10,5,15,2,0,38,55,normal,2,30,2.5,1,55,0,570,0,60,80,0.3,60,75,70.5,71.00285900912701,77.82023185390604,75.34471938889382,74.99375693434632,74.72260341730896,3.451001932447777
2025-08-07 02:45:00,10,5,5,2,0,37,44,normal,2,45,2.75,1,44,0,185,0,60,80,0.3,60,80,74.0,77.40140968376664,71.00285900912701,77.82023185390604,75.34471938889382,75.40816684893322,3.820851459445084
2025-08-07 03:00:00,10,5,9,1,0,34,44,normal,3,0,3.0,1,44,0,306,0,60,80,0.3,60,80,74.0,79.41649890308408,77.40140968376664,71.00285900912701,77.82023185390604,75.94025586532591,4.393012853060459
2025-08-07 03:15:00,10,5,8,0,2,35,45,normal,3,15,3.25,1,45,16,280,70,60,80,0.3,60,80,74.0,78.50064946619462,79.41649890308408,77.40140968376664,71.00285900912701,78.43951935101511,1.008934491772782
2025-08-07 03:30:00,10,5,7,0,0,34,41,normal,3,30,3.5,1,41,0,238,0,60,80,0.3,60,80,74.0,78.22037610272774,78.50064946619462,79.41649890308408,77.40140968376664,78.71250815733548,0.6255721518275091
2025-08-07 03:45:00,10,5,10,1,2,38,51,normal,3,45,3.75,1,51,20,380,76,60,80,0.3,60,75,70.5,70.53061150317087,78.22037610272774,78.50064946619462,79.41649890308408,75.75054569069773,4.5227671818424415
2025-08-07 04:00:00,10,5,82,7,3,10,102,low,4,0,4.0,1,102,246,820,30,80,100,0.3,80,95,90.5,94.42824182134413,70.53061150317087,78.22037610272774,78.50064946619462,81.05974314241426,12.199208482338603
2025-08-07 04:15:00,10,5,71,3,0,30,104,normal,4,15,4.25,1,104,0,2130,0,60,80,0.3,60,75,70.5,74.1061444698792,94.42824182134413,70.53061150317087,78.22037610272774,79.6883325981314,12.889716906527402
2025-08-07 04:30:00,10,5,89,10,2,10,111,low,4,30,4.5,1,111,178,890,20,80,100,0.3,80,95,90.5,90.78921567148737,74.1061444698792,94.42824182134413,70.53061150317087,86.44120065423688,10.836320230284896
2025-08-07 04:45:00,10,5,77,3,0,18,98,low,4,45,4.75,1,98,0,1386,0,80,100,0.3,80,95,90.5,93.9114804009983,90.78921567148737,74.1061444698792,94.42824182134413,86.26894684745496,10.648354592013707
2025-08-07 05:00:00,10,5,90,2,0,22,114,normal,5,0,5.0,1,114,0,1980,0,60,80,0.3,60,75,70.5,70.86966699965362,93.9114804009983,90.78921567148737,74.1061444698792,85.19012102404643,12.499747471803127
2025-08-07 05:15:00,10,5,84,1,7,23,115,normal,5,15,5.25,1,115,588,1932,161,60,80,0.3,60,75,70.5,71.24316891210523,70.86966699965362,93.9114804009983,90.78921567148737,78.67477210425238,13.196697909316011
2025-08-07 05:30:00,10,5,88,8,6,10,112,normal,5,30,5.5,1,112,528,880,60,60,80,0.3,60,75,70.5,72.75208922174973,71.24316891210523,70.86966699965362,93.9114804009983,71.62164171116952,0.9966491861649887
2025-08-07 05:45:00,10,5,97,27,15,8,147,normal,5,45,5.75,1,147,1455,776,120,60,80,0.3,60,75,70.5,73.29298776943153,72.75208922174973,71.24316891210523,70.86966699965362,72.4294153010955,1.0623220704027618
2025-08-07 06:00:00,10,5,107,10,24,11,152,normal,6,0,6.0,1,152,2568,1177,264,60,80,0.3,60,75,70.5,73.5062498879464,73.29298776943153,72.75208922174973,71.24316891210523,73.18377562637589,0.3887609120682222
2025-08-07 06:15:00,10,5,82,26,11,5,124,normal,6,15,6.25,1,124,902,410,55,60,80,0.3,60,75,70.5,73.8689327007327,73.5062498879464,73.29298776943153,72.75208922174973,73.55605678603688,0.2911849692127158
2025-08-07 06:30:00,10,5,93,16,24,10,143,normal,6,30,6.5,1,143,2232,930,240,60,80,0.3,60,75,70.5,73.8744790695519,73.8689327007327,73.5062498879464,73.29298776943153,73.74988721941033,0.2110143419614451
