Iteration,Num_Delivery_Locations,Num_Clusters,Cluster_Sizes
1,90,8,"16,13,15,11,9,6,11,9"
2,90,9,"9,17,4,10,13,12,6,12,7"
3,90,8,"9,13,16,14,9,10,8,11"
4,90,7,"6,11,16,17,21,11,8"
5,90,8,"16,13,15,11,9,6,11,9"
6,90,9,"9,17,4,10,13,12,6,12,7"
7,90,8,"9,13,16,14,9,10,8,11"
8,90,7,"6,11,16,17,21,11,8"
9,90,8,"16,13,15,11,9,6,11,9"
10,90,9,"9,17,4,10,13,12,6,12,7"
11,90,8,"9,13,16,14,9,10,8,11"
12,90,7,"6,11,16,17,21,11,8"
13,90,8,"16,13,15,11,9,6,11,9"
14,90,9,"9,17,4,10,13,12,6,12,7"
15,90,8,"9,13,16,14,9,10,8,11"
16,90,7,"6,11,16,17,21,11,8"
17,90,8,"16,13,15,11,9,6,11,9"
18,90,9,"9,17,4,10,13,12,6,12,7"
19,90,8,"9,13,16,14,9,10,8,11"
20,90,7,"6,11,16,17,21,11,8"
21,90,8,"16,13,15,11,9,6,11,9"
22,90,9,"9,17,4,10,13,12,6,12,7"
23,90,8,"9,13,16,14,9,10,8,11"
24,90,7,"6,11,16,17,21,11,8"
25,90,8,"16,13,15,11,9,6,11,9"
26,90,9,"9,17,4,10,13,12,6,12,7"
27,90,8,"9,13,16,14,9,10,8,11"
28,90,7,"6,11,16,17,21,11,8"
29,90,8,"16,13,15,11,9,6,11,9"
30,90,9,"9,17,4,10,13,12,6,12,7"
31,90,8,"9,13,16,14,9,10,8,11"
32,90,7,"6,11,16,17,21,11,8"
33,90,10,"12,12,9,8,7,8,10,7,9,8"
34,90,7,"14,11,12,11,12,16,14"
35,90,6,"12,23,11,11,13,20"
36,90,8,"10,17,16,15,8,11,6,7"
37,90,10,"12,12,9,8,7,8,10,7,9,8"
38,90,7,"14,11,12,11,12,16,14"
39,90,6,"12,23,11,11,13,20"
40,90,8,"10,17,16,15,8,11,6,7"
41,90,10,"12,12,9,8,7,8,10,7,9,8"
42,90,7,"14,11,12,11,12,16,14"
43,90,6,"12,23,11,11,13,20"
44,90,8,"10,17,16,15,8,11,6,7"
45,90,10,"12,12,9,8,7,8,10,7,9,8"
46,90,7,"14,11,12,11,12,16,14"
47,90,6,"12,23,11,11,13,20"
48,90,8,"10,17,16,15,8,11,6,7"
49,90,10,"12,12,9,8,7,8,10,7,9,8"
50,90,7,"14,11,12,11,12,16,14"
51,90,6,"12,23,11,11,13,20"
52,90,8,"10,17,16,15,8,11,6,7"
53,90,10,"12,12,9,8,7,8,10,7,9,8"
54,90,7,"14,11,12,11,12,16,14"
55,90,6,"12,23,11,11,13,20"
56,90,8,"10,17,16,15,8,11,6,7"
57,90,10,"12,12,9,8,7,8,10,7,9,8"
58,90,7,"14,11,12,11,12,16,14"
59,90,6,"12,23,11,11,13,20"
60,90,8,"10,17,16,15,8,11,6,7"
61,90,10,"12,12,9,8,7,8,10,7,9,8"
62,90,7,"14,11,12,11,12,16,14"
63,90,6,"12,23,11,11,13,20"
64,90,8,"10,17,16,15,8,11,6,7"
65,90,10,"12,8,11,9,6,11,10,8,5,10"
66,90,8,"11,11,14,13,7,11,9,14"
67,90,9,"9,12,9,12,9,11,6,10,12"
68,90,7,"11,12,12,17,12,14,12"
69,90,10,"12,8,11,9,6,11,10,8,5,10"
70,90,8,"11,11,14,13,7,11,9,14"
71,90,9,"9,12,9,12,9,11,6,10,12"
72,90,7,"11,12,12,17,12,14,12"
73,90,10,"12,8,11,9,6,11,10,8,5,10"
74,90,8,"11,11,14,13,7,11,9,14"
75,90,9,"9,12,9,12,9,11,6,10,12"
76,90,7,"11,12,12,17,12,14,12"
77,90,10,"12,8,11,9,6,11,10,8,5,10"
78,90,8,"11,11,14,13,7,11,9,14"
79,90,9,"9,12,9,12,9,11,6,10,12"
80,90,7,"11,12,12,17,12,14,12"
81,90,10,"12,8,11,9,6,11,10,8,5,10"
82,90,8,"11,11,14,13,7,11,9,14"
83,90,9,"9,12,9,12,9,11,6,10,12"
84,90,7,"11,12,12,17,12,14,12"
85,90,10,"12,8,11,9,6,11,10,8,5,10"
86,90,8,"11,11,14,13,7,11,9,14"
87,90,9,"9,12,9,12,9,11,6,10,12"
88,90,7,"11,12,12,17,12,14,12"
89,90,10,"12,8,11,9,6,11,10,8,5,10"
90,90,8,"11,11,14,13,7,11,9,14"
91,90,9,"9,12,9,12,9,11,6,10,12"
92,90,7,"11,12,12,17,12,14,12"
93,90,10,"12,8,11,9,6,11,10,8,5,10"
94,90,8,"11,11,14,13,7,11,9,14"
95,90,9,"9,12,9,12,9,11,6,10,12"
96,90,7,"11,12,12,17,12,14,12"
97,90,10,"15,9,7,5,8,11,8,9,10,8"
98,90,11,"8,12,8,6,8,10,10,7,7,9,5"
99,90,12,"9,14,9,6,10,5,8,6,7,3,9,4"
100,90,8,"11,4,11,17,15,15,13,4"
