Iteration,Num_Delivery_Locations,Num_Clusters,Cluster_Sizes
1,20,7,"4,3,1,4,3,3,2"
2,20,5,"4,4,4,4,4"
3,20,6,"2,4,2,7,2,3"
4,20,6,"2,4,4,2,5,3"
5,20,7,"4,3,1,4,3,3,2"
6,20,5,"4,4,4,4,4"
7,20,6,"2,4,2,7,2,3"
8,20,6,"2,4,4,2,5,3"
9,20,7,"4,3,1,4,3,3,2"
10,20,5,"4,4,4,4,4"
11,20,6,"2,4,2,7,2,3"
12,20,6,"2,4,4,2,5,3"
13,20,7,"4,3,1,4,3,3,2"
14,20,5,"4,4,4,4,4"
15,20,6,"2,4,2,7,2,3"
16,20,6,"2,4,4,2,5,3"
17,20,7,"4,3,1,4,3,3,2"
18,20,5,"4,4,4,4,4"
19,20,6,"2,4,2,7,2,3"
20,20,6,"2,4,4,2,5,3"
21,20,7,"4,3,1,4,3,3,2"
22,20,5,"4,4,4,4,4"
23,20,6,"2,4,2,7,2,3"
24,20,6,"2,4,4,2,5,3"
25,20,7,"4,3,1,4,3,3,2"
26,20,5,"4,4,4,4,4"
27,20,6,"2,4,2,7,2,3"
28,20,6,"2,4,4,2,5,3"
29,20,7,"4,3,1,4,3,3,2"
30,20,5,"4,4,4,4,4"
31,20,6,"2,4,2,7,2,3"
32,20,6,"2,4,4,2,5,3"
33,20,5,"5,5,4,3,3"
34,20,5,"4,5,3,4,4"
35,20,6,"2,2,9,5,1,1"
36,20,7,"2,3,6,4,2,2,1"
37,20,5,"5,5,4,3,3"
38,20,5,"4,5,3,4,4"
39,20,6,"2,2,9,5,1,1"
40,20,7,"2,3,6,4,2,2,1"
41,20,5,"5,5,4,3,3"
42,20,5,"4,5,3,4,4"
43,20,6,"2,2,9,5,1,1"
44,20,7,"2,3,6,4,2,2,1"
45,20,5,"5,5,4,3,3"
46,20,5,"4,5,3,4,4"
47,20,6,"2,2,9,5,1,1"
48,20,7,"2,3,6,4,2,2,1"
49,20,5,"5,5,4,3,3"
50,20,5,"4,5,3,4,4"
51,20,6,"2,2,9,5,1,1"
52,20,7,"2,3,6,4,2,2,1"
53,20,5,"5,5,4,3,3"
54,20,5,"4,5,3,4,4"
55,20,6,"2,2,9,5,1,1"
56,20,7,"2,3,6,4,2,2,1"
57,20,5,"5,5,4,3,3"
58,20,5,"4,5,3,4,4"
59,20,6,"2,2,9,5,1,1"
60,20,7,"2,3,6,4,2,2,1"
61,20,5,"5,5,4,3,3"
62,20,5,"4,5,3,4,4"
63,20,6,"2,2,9,5,1,1"
64,20,7,"2,3,6,4,2,2,1"
65,20,5,"7,5,3,2,3"
66,20,6,"4,4,1,4,5,2"
67,20,5,"6,3,4,3,4"
68,20,5,"3,3,5,5,4"
69,20,5,"7,5,3,2,3"
70,20,6,"4,4,1,4,5,2"
71,20,5,"6,3,4,3,4"
72,20,5,"3,3,5,5,4"
73,20,5,"7,5,3,2,3"
74,20,6,"4,4,1,4,5,2"
75,20,5,"6,3,4,3,4"
76,20,5,"3,3,5,5,4"
77,20,5,"7,5,3,2,3"
78,20,6,"4,4,1,4,5,2"
79,20,5,"6,3,4,3,4"
80,20,5,"3,3,5,5,4"
81,20,5,"7,5,3,2,3"
82,20,6,"4,4,1,4,5,2"
83,20,5,"6,3,4,3,4"
84,20,5,"3,3,5,5,4"
85,20,5,"7,5,3,2,3"
86,20,6,"4,4,1,4,5,2"
87,20,5,"6,3,4,3,4"
88,20,5,"3,3,5,5,4"
89,20,5,"7,5,3,2,3"
90,20,6,"4,4,1,4,5,2"
91,20,5,"6,3,4,3,4"
92,20,5,"3,3,5,5,4"
93,20,5,"7,5,3,2,3"
94,20,6,"4,4,1,4,5,2"
95,20,5,"6,3,4,3,4"
96,20,5,"3,3,5,5,4"
97,20,5,"3,5,6,3,3"
98,20,6,"5,3,3,3,3,3"
99,20,6,"5,3,4,5,1,2"
100,20,5,"3,3,9,1,4"
