Iteration,Num_Delivery_Locations,Num_Clusters,Cluster_Sizes
1,40,6,"4,6,9,9,5,7"
2,40,7,"4,6,4,5,8,7,6"
3,40,8,"9,6,6,5,2,7,3,2"
4,40,9,"3,3,5,10,2,6,2,6,3"
5,40,6,"4,6,9,9,5,7"
6,40,7,"4,6,4,5,8,7,6"
7,40,8,"9,6,6,5,2,7,3,2"
8,40,9,"3,3,5,10,2,6,2,6,3"
9,40,6,"4,6,9,9,5,7"
10,40,7,"4,6,4,5,8,7,6"
11,40,8,"9,6,6,5,2,7,3,2"
12,40,9,"3,3,5,10,2,6,2,6,3"
13,40,6,"4,6,9,9,5,7"
14,40,7,"4,6,4,5,8,7,6"
15,40,8,"9,6,6,5,2,7,3,2"
16,40,9,"3,3,5,10,2,6,2,6,3"
17,40,6,"4,6,9,9,5,7"
18,40,7,"4,6,4,5,8,7,6"
19,40,8,"9,6,6,5,2,7,3,2"
20,40,9,"3,3,5,10,2,6,2,6,3"
21,40,6,"4,6,9,9,5,7"
22,40,7,"4,6,4,5,8,7,6"
23,40,8,"9,6,6,5,2,7,3,2"
24,40,9,"3,3,5,10,2,6,2,6,3"
25,40,6,"4,6,9,9,5,7"
26,40,7,"4,6,4,5,8,7,6"
27,40,8,"9,6,6,5,2,7,3,2"
28,40,9,"3,3,5,10,2,6,2,6,3"
29,40,6,"4,6,9,9,5,7"
30,40,7,"4,6,4,5,8,7,6"
31,40,8,"9,6,6,5,2,7,3,2"
32,40,9,"3,3,5,10,2,6,2,6,3"
33,40,8,"7,6,5,5,4,7,4,2"
34,40,9,"4,7,2,7,7,3,3,4,3"
35,40,7,"8,8,4,2,8,6,4"
36,40,8,"8,4,8,3,4,2,6,5"
37,40,8,"7,6,5,5,4,7,4,2"
38,40,9,"4,7,2,7,7,3,3,4,3"
39,40,7,"8,8,4,2,8,6,4"
40,40,8,"8,4,8,3,4,2,6,5"
41,40,8,"7,6,5,5,4,7,4,2"
42,40,9,"4,7,2,7,7,3,3,4,3"
43,40,7,"8,8,4,2,8,6,4"
44,40,8,"8,4,8,3,4,2,6,5"
45,40,8,"7,6,5,5,4,7,4,2"
46,40,9,"4,7,2,7,7,3,3,4,3"
47,40,7,"8,8,4,2,8,6,4"
48,40,8,"8,4,8,3,4,2,6,5"
49,40,8,"7,6,5,5,4,7,4,2"
50,40,9,"4,7,2,7,7,3,3,4,3"
51,40,7,"8,8,4,2,8,6,4"
52,40,8,"8,4,8,3,4,2,6,5"
53,40,8,"7,6,5,5,4,7,4,2"
54,40,9,"4,7,2,7,7,3,3,4,3"
55,40,7,"8,8,4,2,8,6,4"
56,40,8,"8,4,8,3,4,2,6,5"
57,40,8,"7,6,5,5,4,7,4,2"
58,40,9,"4,7,2,7,7,3,3,4,3"
59,40,7,"8,8,4,2,8,6,4"
60,40,8,"8,4,8,3,4,2,6,5"
61,40,8,"7,6,5,5,4,7,4,2"
62,40,9,"4,7,2,7,7,3,3,4,3"
63,40,7,"8,8,4,2,8,6,4"
64,40,8,"8,4,8,3,4,2,6,5"
65,40,6,"8,6,9,7,8,2"
66,40,6,"6,8,6,7,11,2"
67,40,6,"4,6,8,12,3,7"
68,40,8,"4,7,6,8,6,3,4,2"
69,40,6,"8,6,9,7,8,2"
70,40,6,"6,8,6,7,11,2"
71,40,6,"4,6,8,12,3,7"
72,40,8,"4,7,6,8,6,3,4,2"
73,40,6,"8,6,9,7,8,2"
74,40,6,"6,8,6,7,11,2"
75,40,6,"4,6,8,12,3,7"
76,40,8,"4,7,6,8,6,3,4,2"
77,40,6,"8,6,9,7,8,2"
78,40,6,"6,8,6,7,11,2"
79,40,6,"4,6,8,12,3,7"
80,40,8,"4,7,6,8,6,3,4,2"
81,40,6,"8,6,9,7,8,2"
82,40,6,"6,8,6,7,11,2"
83,40,6,"4,6,8,12,3,7"
84,40,8,"4,7,6,8,6,3,4,2"
85,40,6,"8,6,9,7,8,2"
86,40,6,"6,8,6,7,11,2"
87,40,6,"4,6,8,12,3,7"
88,40,8,"4,7,6,8,6,3,4,2"
89,40,6,"8,6,9,7,8,2"
90,40,6,"6,8,6,7,11,2"
91,40,6,"4,6,8,12,3,7"
92,40,8,"4,7,6,8,6,3,4,2"
93,40,6,"8,6,9,7,8,2"
94,40,6,"6,8,6,7,11,2"
95,40,6,"4,6,8,12,3,7"
96,40,8,"4,7,6,8,6,3,4,2"
97,40,7,"6,5,9,5,5,5,5"
98,40,7,"9,5,8,8,3,3,4"
99,40,9,"7,4,4,5,9,4,4,1,2"
100,40,7,"6,8,7,4,7,5,3"
