Iteration,Num_Delivery_Locations,Num_Clusters,Cluster_Sizes
1,80,8,"10,12,10,10,14,6,9,9"
2,80,9,"13,12,5,10,4,11,10,9,6"
3,80,8,"11,8,9,13,12,9,7,11"
4,80,9,"9,10,6,8,16,7,9,6,9"
5,80,8,"10,12,10,10,14,6,9,9"
6,80,9,"13,12,5,10,4,11,10,9,6"
7,80,8,"11,8,9,13,12,9,7,11"
8,80,9,"9,10,6,8,16,7,9,6,9"
9,80,8,"10,12,10,10,14,6,9,9"
10,80,9,"13,12,5,10,4,11,10,9,6"
11,80,8,"11,8,9,13,12,9,7,11"
12,80,9,"9,10,6,8,16,7,9,6,9"
13,80,8,"10,12,10,10,14,6,9,9"
14,80,9,"13,12,5,10,4,11,10,9,6"
15,80,8,"11,8,9,13,12,9,7,11"
16,80,9,"9,10,6,8,16,7,9,6,9"
17,80,8,"10,12,10,10,14,6,9,9"
18,80,9,"13,12,5,10,4,11,10,9,6"
19,80,8,"11,8,9,13,12,9,7,11"
20,80,9,"9,10,6,8,16,7,9,6,9"
21,80,8,"10,12,10,10,14,6,9,9"
22,80,9,"13,12,5,10,4,11,10,9,6"
23,80,8,"11,8,9,13,12,9,7,11"
24,80,9,"9,10,6,8,16,7,9,6,9"
25,80,8,"10,12,10,10,14,6,9,9"
26,80,9,"13,12,5,10,4,11,10,9,6"
27,80,8,"11,8,9,13,12,9,7,11"
28,80,9,"9,10,6,8,16,7,9,6,9"
29,80,8,"10,12,10,10,14,6,9,9"
30,80,9,"13,12,5,10,4,11,10,9,6"
31,80,8,"11,8,9,13,12,9,7,11"
32,80,9,"9,10,6,8,16,7,9,6,9"
33,80,8,"17,14,10,9,4,10,11,5"
34,80,8,"9,10,12,12,12,5,11,9"
35,80,7,"12,9,12,14,16,12,5"
36,80,8,"10,17,7,12,12,6,9,7"
37,80,8,"17,14,10,9,4,10,11,5"
38,80,8,"9,10,12,12,12,5,11,9"
39,80,7,"12,9,12,14,16,12,5"
40,80,8,"10,17,7,12,12,6,9,7"
41,80,8,"17,14,10,9,4,10,11,5"
42,80,8,"9,10,12,12,12,5,11,9"
43,80,7,"12,9,12,14,16,12,5"
44,80,8,"10,17,7,12,12,6,9,7"
45,80,8,"17,14,10,9,4,10,11,5"
46,80,8,"9,10,12,12,12,5,11,9"
47,80,7,"12,9,12,14,16,12,5"
48,80,8,"10,17,7,12,12,6,9,7"
49,80,8,"17,14,10,9,4,10,11,5"
50,80,8,"9,10,12,12,12,5,11,9"
51,80,7,"12,9,12,14,16,12,5"
52,80,8,"10,17,7,12,12,6,9,7"
53,80,8,"17,14,10,9,4,10,11,5"
54,80,8,"9,10,12,12,12,5,11,9"
55,80,7,"12,9,12,14,16,12,5"
56,80,8,"10,17,7,12,12,6,9,7"
57,80,8,"17,14,10,9,4,10,11,5"
58,80,8,"9,10,12,12,12,5,11,9"
59,80,7,"12,9,12,14,16,12,5"
60,80,8,"10,17,7,12,12,6,9,7"
61,80,8,"17,14,10,9,4,10,11,5"
62,80,8,"9,10,12,12,12,5,11,9"
63,80,7,"12,9,12,14,16,12,5"
64,80,8,"10,17,7,12,12,6,9,7"
65,80,8,"17,14,11,9,7,7,12,3"
66,80,9,"11,9,7,9,7,6,13,11,7"
67,80,9,"6,9,8,11,10,12,8,7,9"
68,80,9,"9,12,12,9,11,6,6,7,8"
69,80,8,"17,14,11,9,7,7,12,3"
70,80,9,"11,9,7,9,7,6,13,11,7"
71,80,9,"6,9,8,11,10,12,8,7,9"
72,80,9,"9,12,12,9,11,6,6,7,8"
73,80,8,"17,14,11,9,7,7,12,3"
74,80,9,"11,9,7,9,7,6,13,11,7"
75,80,9,"6,9,8,11,10,12,8,7,9"
76,80,9,"9,12,12,9,11,6,6,7,8"
77,80,8,"17,14,11,9,7,7,12,3"
78,80,9,"11,9,7,9,7,6,13,11,7"
79,80,9,"6,9,8,11,10,12,8,7,9"
80,80,9,"9,12,12,9,11,6,6,7,8"
81,80,8,"17,14,11,9,7,7,12,3"
82,80,9,"11,9,7,9,7,6,13,11,7"
83,80,9,"6,9,8,11,10,12,8,7,9"
84,80,9,"9,12,12,9,11,6,6,7,8"
85,80,8,"17,14,11,9,7,7,12,3"
86,80,9,"11,9,7,9,7,6,13,11,7"
87,80,9,"6,9,8,11,10,12,8,7,9"
88,80,9,"9,12,12,9,11,6,6,7,8"
89,80,8,"17,14,11,9,7,7,12,3"
90,80,9,"11,9,7,9,7,6,13,11,7"
91,80,9,"6,9,8,11,10,12,8,7,9"
92,80,9,"9,12,12,9,11,6,6,7,8"
93,80,8,"17,14,11,9,7,7,12,3"
94,80,9,"11,9,7,9,7,6,13,11,7"
95,80,9,"6,9,8,11,10,12,8,7,9"
96,80,9,"9,12,12,9,11,6,6,7,8"
97,80,9,"12,9,7,11,5,8,10,11,7"
98,80,9,"11,11,9,8,8,9,11,6,7"
99,80,9,"7,6,8,16,9,10,7,13,4"
100,80,7,"14,13,8,13,6,14,12"
