Iteration,Num_Delivery_Locations,Num_Clusters,Cluster_Sizes
1,70,8,"11,9,7,11,9,8,9,6"
2,70,8,"7,11,10,8,11,11,8,4"
3,70,8,"10,9,14,7,9,7,5,9"
4,70,8,"8,12,7,9,11,10,7,6"
5,70,8,"11,9,7,11,9,8,9,6"
6,70,8,"7,11,10,8,11,11,8,4"
7,70,8,"10,9,14,7,9,7,5,9"
8,70,8,"8,12,7,9,11,10,7,6"
9,70,8,"11,9,7,11,9,8,9,6"
10,70,8,"7,11,10,8,11,11,8,4"
11,70,8,"10,9,14,7,9,7,5,9"
12,70,8,"8,12,7,9,11,10,7,6"
13,70,8,"11,9,7,11,9,8,9,6"
14,70,8,"7,11,10,8,11,11,8,4"
15,70,8,"10,9,14,7,9,7,5,9"
16,70,8,"8,12,7,9,11,10,7,6"
17,70,8,"11,9,7,11,9,8,9,6"
18,70,8,"7,11,10,8,11,11,8,4"
19,70,8,"10,9,14,7,9,7,5,9"
20,70,8,"8,12,7,9,11,10,7,6"
21,70,8,"11,9,7,11,9,8,9,6"
22,70,8,"7,11,10,8,11,11,8,4"
23,70,8,"10,9,14,7,9,7,5,9"
24,70,8,"8,12,7,9,11,10,7,6"
25,70,8,"11,9,7,11,9,8,9,6"
26,70,8,"7,11,10,8,11,11,8,4"
27,70,8,"10,9,14,7,9,7,5,9"
28,70,8,"8,12,7,9,11,10,7,6"
29,70,8,"11,9,7,11,9,8,9,6"
30,70,8,"7,11,10,8,11,11,8,4"
31,70,8,"10,9,14,7,9,7,5,9"
32,70,8,"8,12,7,9,11,10,7,6"
33,70,7,"18,5,5,13,9,7,13"
34,70,9,"4,9,11,13,10,7,6,7,3"
35,70,9,"10,6,10,5,9,11,5,10,4"
36,70,7,"14,8,11,12,10,10,5"
37,70,7,"18,5,5,13,9,7,13"
38,70,9,"4,9,11,13,10,7,6,7,3"
39,70,9,"10,6,10,5,9,11,5,10,4"
40,70,7,"14,8,11,12,10,10,5"
41,70,7,"18,5,5,13,9,7,13"
42,70,9,"4,9,11,13,10,7,6,7,3"
43,70,9,"10,6,10,5,9,11,5,10,4"
44,70,7,"14,8,11,12,10,10,5"
45,70,7,"18,5,5,13,9,7,13"
46,70,9,"4,9,11,13,10,7,6,7,3"
47,70,9,"10,6,10,5,9,11,5,10,4"
48,70,7,"14,8,11,12,10,10,5"
49,70,7,"18,5,5,13,9,7,13"
50,70,9,"4,9,11,13,10,7,6,7,3"
51,70,9,"10,6,10,5,9,11,5,10,4"
52,70,7,"14,8,11,12,10,10,5"
53,70,7,"18,5,5,13,9,7,13"
54,70,9,"4,9,11,13,10,7,6,7,3"
55,70,9,"10,6,10,5,9,11,5,10,4"
56,70,7,"14,8,11,12,10,10,5"
57,70,7,"18,5,5,13,9,7,13"
58,70,9,"4,9,11,13,10,7,6,7,3"
59,70,9,"10,6,10,5,9,11,5,10,4"
60,70,7,"14,8,11,12,10,10,5"
61,70,7,"18,5,5,13,9,7,13"
62,70,9,"4,9,11,13,10,7,6,7,3"
63,70,9,"10,6,10,5,9,11,5,10,4"
64,70,7,"14,8,11,12,10,10,5"
65,70,6,"8,9,18,11,11,13"
66,70,7,"10,14,15,8,9,8,6"
67,70,10,"5,12,5,6,10,8,6,5,7,6"
68,70,7,"10,11,10,8,12,12,7"
69,70,6,"8,9,18,11,11,13"
70,70,7,"10,14,15,8,9,8,6"
71,70,10,"5,12,5,6,10,8,6,5,7,6"
72,70,7,"10,11,10,8,12,12,7"
73,70,6,"8,9,18,11,11,13"
74,70,7,"10,14,15,8,9,8,6"
75,70,10,"5,12,5,6,10,8,6,5,7,6"
76,70,7,"10,11,10,8,12,12,7"
77,70,6,"8,9,18,11,11,13"
78,70,7,"10,14,15,8,9,8,6"
79,70,10,"5,12,5,6,10,8,6,5,7,6"
80,70,7,"10,11,10,8,12,12,7"
81,70,6,"8,9,18,11,11,13"
82,70,7,"10,14,15,8,9,8,6"
83,70,10,"5,12,5,6,10,8,6,5,7,6"
84,70,7,"10,11,10,8,12,12,7"
85,70,6,"8,9,18,11,11,13"
86,70,7,"10,14,15,8,9,8,6"
87,70,10,"5,12,5,6,10,8,6,5,7,6"
88,70,7,"10,11,10,8,12,12,7"
89,70,6,"8,9,18,11,11,13"
90,70,7,"10,14,15,8,9,8,6"
91,70,10,"5,12,5,6,10,8,6,5,7,6"
92,70,7,"10,11,10,8,12,12,7"
93,70,6,"8,9,18,11,11,13"
94,70,7,"10,14,15,8,9,8,6"
95,70,10,"5,12,5,6,10,8,6,5,7,6"
96,70,7,"10,11,10,8,12,12,7"
97,70,9,"5,7,7,9,12,6,6,8,10"
98,70,8,"10,7,7,11,6,9,10,10"
99,70,9,"8,5,8,9,10,9,8,8,5"
100,70,7,"10,6,9,9,16,8,12"
