Iteration,Total_delivery_times_tsp,Total_delivery_times_cluster,Total_delivery_times_optimize,Total_travel_times_tsp,Total_travel_times_cluster,Total_travel_times_optimize,Total_truck_times_tsp,Total_truck_times_cluster,Total_truck_times_optimize,Total_drone_times_cluster,Total_drone_times_optimize
1,6.441591743856151,2.5882525841752244,2.4140191050723514,2.1915917438561503,2.171585917508558,1.9973524384056847,2.1915917438561503,1.0204992094507441,0.8593380649228783,1.1510867080578138,1.1380143734828063
2,6.821816602748873,3.5892212994793375,3.4293199992155654,2.5718166027488736,2.8392212994793375,2.6793199992155654,2.5718166027488736,1.4681417988503016,1.2209604270449501,1.3710795006290362,1.4583595721706153
3,6.836556171480629,3.7259472220634158,3.3583530550425116,2.586556171480628,3.0592805553967493,2.691686388375845,2.586556171480628,1.5078140183886979,1.2286637729894816,1.5514665370080516,1.4630226153863637
4,6.836886006108046,3.345861680818924,3.096774644067726,2.5868860061080463,2.762528347485591,2.513441310734393,2.5868860061080463,1.3947446957730862,1.2070375373219882,1.367783651712505,1.3064037734124048
5,6.539617812448383,3.0484037668509787,2.9638934216363717,2.289617812448383,2.4650704335176457,2.3805600883030387,2.289617812448383,1.1696914323965735,1.0768898640431888,1.295379001121072,1.30367022425985
6,6.441940860970512,2.5345764041026393,2.599292063514541,2.1919408609705124,2.1179097374359728,2.1826253968478744,2.1919408609705124,1.0131122076159345,1.002751896579121,1.1047975298200385,1.1798735002687533
7,6.661353479627458,2.794296047220736,2.672671595041004,2.4113534796274574,2.3776293805540694,2.2560049283743373,2.4113534796274574,1.189149578331305,1.0922969552399295,1.1884798022227643,1.1637079731344078
8,6.675460699197607,3.339101273747958,3.0510809228342985,2.4254606991976067,2.755767940414625,2.4677475895009655,2.4254606991976067,1.3586021203200236,1.1649501413215229,1.3971658200946013,1.3027974481794424
9,6.511862820147429,3.1105965279580374,2.946391449359777,2.261862820147429,2.5272631946247044,2.363058116026444,2.261862820147429,1.2955792097772396,1.1670829500177156,1.231683984847465,1.1959751660087288
10,6.648361851497495,2.891918114960879,2.666689704578567,2.398361851497495,2.4752514482942125,2.2500230379119004,2.398361851497495,1.1235221183986583,0.9392521459562182,1.3517293298955542,1.3107708919556822
11,6.732015187162452,3.194623010816578,3.044287821074855,2.4820151871624523,2.6112896774832444,2.460954487741522,2.4820151871624523,1.2760427013293039,1.2094671704490403,1.3352469761539405,1.2514873172924816
