Iteration,Total_delivery_times_tsp,Total_delivery_times_cluster,Total_delivery_times_optimize,Total_travel_times_tsp,Total_travel_times_cluster,Total_travel_times_optimize,Total_truck_times_tsp,Total_truck_times_cluster,Total_truck_times_optimize,Total_drone_times_cluster,Total_drone_times_optimize
1,6.558764064535045,3.1359833331663856,2.9147817316877203,2.308764064535045,2.6359833331663856,2.4147817316877203,2.308764064535045,1.0632999420892915,0.9831202891624661,1.572683391077094,1.431661442525254
2,6.472273007223913,2.986007376589014,2.9096592054551325,2.222273007223914,2.402674043255681,2.3263258721217994,2.222273007223914,1.1529541239358276,1.068203775699594,1.2497199193198534,1.2581220964222053
3,6.779800734051314,3.511312650573545,3.282146669376108,2.5298007340513133,2.8446459839068785,2.6154800027094414,2.5298007340513133,1.314424578007708,1.1750473520274276,1.5302214058991703,1.4404326506820135
4,6.603782996984528,3.064084939052377,3.008419656921727,2.353782996984527,2.6474182723857105,2.5917529902550607,2.353782996984527,1.1489450752643435,1.0900532536406096,1.4984731971213672,1.5016997366144513
5,6.6711495048558405,3.540261421689734,3.4067161270645343,2.421149504855841,2.956928088356401,2.8233827937312013,2.421149504855841,1.270912943578634,1.19302302483108,1.6860151447777667,1.6303597689001212
6,6.641552258212201,3.3465950188801594,3.062801889722601,2.3915522582122004,2.8465950188801594,2.562801889722601,2.3915522582122004,1.2422148110605935,1.0124325713851217,1.604380207819566,1.5503693183374792
7,6.508875630576548,2.8965474641208897,2.852373853002012,2.258875630576548,2.479880797454223,2.4357071863353457,2.258875630576548,1.0047465725276472,1.0224331613522337,1.4751342249265758,1.413274024983112
8,6.654895063836836,3.361328916166359,3.1221238666309903,2.4048950638368365,2.861328916166359,2.6221238666309903,2.4048950638368365,1.387301808383969,1.1828724518423652,1.47402710778239,1.4392514147886253
9,6.7978673694261165,3.625788339099371,3.5041796648175243,2.5478673694261165,2.875788339099371,2.7541796648175243,2.5478673694261165,1.36977186330448,1.1872360150010084,1.5060164757948906,1.566943649816516
10,6.803895394720493,3.8582654325717085,3.635040662144238,2.553895394720493,3.0249320992383755,2.8017073288109047,2.553895394720493,1.4077166830598584,1.2092120241635442,1.617215416178517,1.5924953046473604
11,6.587309634834455,3.1387198319464247,2.987091140300534,2.337309634834454,2.472053165279758,2.3204244736338673,2.337309634834454,1.2962956797111307,1.1217322111639798,1.1757574855686275,1.1986922624698875
12,6.744478116164888,3.3310345140277065,3.0882088349747354,2.494478116164889,2.7477011806943734,2.504875501641402,2.494478116164889,1.2724187302708876,1.0629457485556295,1.475282450423486,1.4419297530857724
13,6.519013820417944,3.0109953408842585,2.8873546020970418,2.269013820417945,2.5109953408842585,2.3873546020970418,2.269013820417945,1.1310786447019006,0.9544723051309483,1.379916696182358,1.4328822969660933
14,6.551908056482732,3.297500685977073,3.0424916653731104,2.301908056482732,2.7141673526437398,2.4591583320397774,2.301908056482732,1.2490534894487095,1.0013130062677857,1.4651138631950302,1.4578453257719914
15,6.669159617835984,3.318840455269922,3.1111771557158026,2.4191596178359833,2.735507121936589,2.5278438223824695,2.4191596178359833,1.1705043900781145,1.0869055061484834,1.5650027318584743,1.4409383162339862
16,6.681213479967546,3.5870980136160733,3.3557712758383045,2.431213479967546,2.9204313469494068,2.689104609171638,2.431213479967546,1.4287866353970378,1.2036995914391515,1.491644711552369,1.4854050177324865
17,6.668117221129606,3.2266787324721564,2.9163922689890756,2.4181172211296054,2.643345399138823,2.333058935655742,2.4181172211296054,1.2282579833771097,1.056026181883669,1.4150874157617133,1.2770327537720731
18,6.466171402288801,3.2468331829908066,2.9381847368830782,2.2161714022888006,2.83016651632414,2.5215180702164117,2.2161714022888006,1.1150279830895924,0.9267700356071499,1.715138533234548,1.594748034609262
19,6.620347017779572,3.2544977240341453,3.012945524850367,2.3703470177795722,2.671164390700812,2.4296121915170334,2.3703470177795722,1.1954381004317602,1.0733937263342144,1.4757262902690516,1.356218465182819
20,6.632101929340651,3.7844429231910475,3.412033654766233,2.3821019293406507,3.117776256524381,2.7453669880995664,2.3821019293406507,1.4676440638633246,1.1604540143465798,1.6501321926610564,1.5849129737529863
21,6.601523850809505,3.0065198929149237,2.693670066555641,2.3515238508095044,2.589853226248257,2.2770033998889745,2.3515238508095044,1.1448727606415254,0.8806464193465879,1.4449804656067315,1.3963569805423865
22,6.597312157372739,3.2444728082603973,3.09550461462553,2.3473121573727393,2.661139474927064,2.512171281292197,2.3473121573727393,1.1980817021116812,1.0898785242268088,1.4630577728153826,1.422292757065388
23,6.543511514484942,3.0885409258695145,2.9484258961814085,2.293511514484942,2.671874259202848,2.531759229514742,2.293511514484942,1.1456826365191892,1.0603156848621191,1.5261916226836587,1.4714435446526228
24,6.726477855773599,3.712154370188121,3.4729054637813546,2.4764778557735982,2.962154370188121,2.7229054637813546,2.4764778557735982,1.4888631061053312,1.2616506594026113,1.4732912640827895,1.4612548043787432
25,6.624958282129004,3.205061589381134,2.9220698590524483,2.3749582821290036,2.705061589381134,2.4220698590524483,2.3749582821290036,1.228593496248873,1.0535330329625803,1.476468093132261,1.3685368260898683
