Iteration,Total_delivery_times_tsp,Total_delivery_times_cluster,Total_delivery_times_optimize,Total_travel_times_tsp,Total_travel_times_cluster,Total_travel_times_optimize,Total_truck_times_tsp,Total_truck_times_cluster,Total_truck_times_optimize,Total_drone_times_cluster,Total_drone_times_optimize
1,6.7090692074932985,3.0886251001997005,2.9277634646138013,2.4590692074932985,2.5886251001997005,2.4277634646138013,2.4590692074932985,1.2481732195049464,1.0304746760338241,1.3404518806947539,1.397288788579977
2,6.700096009017576,3.3664774198476675,3.0743393358538516,2.4500960090175767,2.8664774198476675,2.5743393358538516,2.4500960090175767,1.250214219068343,1.0808076631362449,1.6162632007793247,1.4935316727176065
3,6.715586683917465,2.9435577251029974,2.812753555148869,2.4655866839174654,2.4435577251029974,2.312753555148869,2.4655866839174654,1.0798765402754016,0.9841897792220925,1.363681184827596,1.3285637759267765
4,6.7761785624875435,3.3414827927416404,3.099086440441084,2.5261785624875435,2.8414827927416404,2.599086440441084,2.5261785624875435,1.331661945261544,1.1310794896872411,1.5098208474800967,1.4680069507538427
5,6.740297639792892,3.2238130017284847,3.075162749905144,2.490297639792892,2.7238130017284847,2.575162749905144,2.490297639792892,1.3567183607559243,1.1913030602461077,1.3670946409725606,1.3838596896590363
6,6.539458650276957,3.245969003555399,2.9813313099424352,2.289458650276958,2.6626356702220657,2.3979979766091017,2.289458650276958,1.2381550616800856,1.0220962490906123,1.42448060854198,1.3759017275184895
7,6.537549588581973,2.8074303289789,2.671608331779486,2.287549588581973,2.3074303289789,2.171608331779486,2.287549588581973,1.063109220169392,0.9416082088205799,1.2443211088095083,1.2300001229589062
8,6.6157019639396815,3.0615699770805387,2.7703280834078674,2.365701963939681,2.5615699770805387,2.2703280834078674,2.365701963939681,1.145361787904709,0.9665410095632849,1.4162081891758294,1.3037870738445827
9,6.642614633714131,3.4718515772120924,3.3001913888894023,2.392614633714131,2.7218515772120924,2.5501913888894023,2.392614633714131,1.3723916990500256,1.1587397838010882,1.349459878162067,1.3914516050883141
10,6.708710112524123,3.152540328226431,3.085748378482003,2.4587101125241233,2.569206994893098,2.5024150451486697,2.4587101125241233,1.192188461285872,1.1344152686945483,1.377018533607226,1.3679997764541216
11,6.592188146348645,3.438665021500148,3.198896768028503,2.3421881463486454,2.7719983548334817,2.5322301013618365,2.3421881463486454,1.3515184279005472,1.2030323064522508,1.4204799269329345,1.3291977949095857
